Customer_id,Age,Gender,City,Tenure (months),Monthly spend,Total orders,App usage time,Days since last login,Cart abandon rate,Support tickets,Discount usage,Payment method,Churn,Customer status,Spending segment,Engagement segment,Activity status,Revenue per order,Order frequency,Customer risk level
200044,38,Female,Kolkata,19,9259,244,31,197,0.63,10,0.98,NetBanking,No,stayed,Medium,Low,Churn Risk,721,12.84,Medium Risk
200045,26,Male,Pune,97,2918,11,224,251,0.12,18,0.45,NetBanking,No,stayed,Low,High,Churn Risk,25731,0.11,Medium Risk
200046,56,Male,Bangalore,48,18780,241,97,13,0.27,7,0.36,Card,No,stayed,High,Medium,Active,3740,5.02,Low Risk
200047,35,Female,Mumbai,42,14931,221,221,200,0.73,3,0.98,COD,No,stayed,Medium,High,Churn Risk,2838,5.26,Medium Risk
200048,21,Female,Delhi,4,4550,119,24,200,0.9,10,0.53,NetBanking,Yes,churned,Low,Low,Churn Risk,153,29.75,High Risk
200049,42,Male,Chennai,41,7808,218,56,286,0.97,22,0.96,UPI,Yes,churned,Medium,Low,Churn Risk,1468,5.32,Medium Risk
200050,31,Male,Pune,40,4342,218,184,344,0.65,28,0.57,NetBanking,Yes,churned,Low,High,Churn Risk,797,5.45,Medium Risk
200051,67,Male,Kolkata,63,10931,131,90,321,0.13,25,0.39,COD,Yes,churned,Medium,Medium,Churn Risk,5257,2.08,Medium Risk
200052,26,Female,Chennai,22,5003,210,183,207,0.31,0,0.1,Card,Yes,churned,Medium,High,Churn Risk,524,9.55,Medium Risk
200053,43,Female,Bangalore,76,17168,176,137,176,0.89,16,0.46,NetBanking,No,stayed,High,Medium,Churn Risk,7413,2.32,Medium Risk
200054,19,Female,Chennai,44,14194,177,38,174,0.3,20,0.44,COD,Yes,churned,Medium,Low,Churn Risk,3528,4.02,Medium Risk
200055,37,Male,Pune,29,17526,221,173,334,0.68,8,0.24,NetBanking,Yes,churned,High,Medium,Churn Risk,2300,7.62,Medium Risk
200056,45,Female,Pune,35,4494,230,174,19,0.56,12,0.72,Card,No,stayed,Low,Medium,Active,684,6.57,Medium Risk
200057,64,Male,Delhi,41,19825,385,48,182,0.93,7,0.33,NetBanking,No,stayed,High,Low,Churn Risk,2111,9.39,Medium Risk
200058,24,Female,Hyderabad,27,8705,278,68,34,0.08,2,0.51,Card,No,stayed,Medium,Low,Dormant,845,10.3,Medium Risk
200059,61,Male,Mumbai,57,16868,113,49,342,0.4,3,0.74,NetBanking,Yes,churned,High,Low,Churn Risk,8509,1.98,Medium Risk
200060,25,Male,Kolkata,44,12780,81,199,160,0.95,22,0.73,UPI,No,stayed,Medium,High,Churn Risk,6942,1.84,Medium Risk
200061,64,Male,Chennai,111,6086,169,209,178,0.89,3,0.81,COD,Yes,churned,Medium,High,Churn Risk,3997,1.52,Medium Risk
200062,52,Male,Delhi,49,16756,70,176,47,0.57,1,0.52,Card,No,stayed,High,Medium,Dormant,11729,1.43,Medium Risk
200063,31,Male,Delhi,63,2471,184,138,194,0.24,28,0.04,UPI,No,stayed,Low,Medium,Churn Risk,846,2.92,Medium Risk
200064,34,Female,Mumbai,35,6524,63,206,5,0.92,11,0.24,UPI,Yes,churned,Medium,High,Highly Active,3624,1.8,Medium Risk
200065,53,Female,Bangalore,83,16696,75,221,118,0.34,10,0.42,Card,No,stayed,High,High,Churn Risk,18477,0.9,Medium Risk
200066,67,Female,Bangalore,55,8080,214,84,236,0.77,26,0.38,COD,Yes,churned,Medium,Medium,Churn Risk,2077,3.89,Medium Risk
200067,57,Female,Pune,108,12193,242,297,19,0.49,15,0.01,Card,No,stayed,Medium,High,Active,5442,2.24,Medium Risk
200068,21,Female,Bangalore,75,5262,42,250,129,0.84,28,0.02,UPI,No,stayed,Medium,High,Churn Risk,9396,0.56,Medium Risk
200069,19,Male,Mumbai,97,12042,255,65,353,0.27,22,0.79,Card,Yes,churned,Medium,Low,Churn Risk,4581,2.63,Medium Risk
200071,59,Female,Delhi,42,17085,277,26,283,0.49,13,0.69,COD,Yes,churned,High,Low,Churn Risk,2591,6.6,Medium Risk
200072,21,Male,Mumbai,60,2472,127,222,347,0.8,23,0.43,COD,Yes,churned,Low,High,Churn Risk,1168,2.12,Medium Risk
200073,46,Female,Mumbai,53,19072,6,43,329,0.15,21,0.55,Card,Yes,churned,High,Low,Churn Risk,168469,0.11,Medium Risk
200074,35,Female,Kolkata,20,9639,180,199,346,0.01,7,0.82,Card,Yes,churned,Medium,High,Churn Risk,1071,9,Medium Risk
200075,43,Male,Kolkata,93,18629,17,19,154,0.75,1,0.93,Card,Yes,churned,High,Low,Churn Risk,101912,0.18,High Risk
200076,61,Male,Chennai,98,18786,230,228,37,0.94,29,0.27,COD,No,stayed,High,High,Dormant,8004,2.35,Medium Risk
200077,51,Male,Kolkata,28,3521,210,80,220,0.33,2,0.44,NetBanking,Yes,churned,Low,Medium,Churn Risk,469,7.5,Medium Risk
200078,27,Female,Hyderabad,23,6827,372,17,22,0.35,18,0.06,NetBanking,No,stayed,Medium,Low,Active,422,16.17,Medium Risk
200079,53,Female,Hyderabad,110,15183,120,286,287,0.73,13,0.32,NetBanking,Yes,churned,High,High,Churn Risk,13918,1.09,Medium Risk
200080,31,Male,Mumbai,85,13951,225,142,112,0.48,19,0.98,NetBanking,No,stayed,Medium,Medium,Churn Risk,5270,2.65,Medium Risk
200081,48,Female,Mumbai,21,7415,31,109,322,0,17,0.04,NetBanking,No,stayed,Medium,Medium,Churn Risk,5023,1.48,Medium Risk
200082,65,Female,Mumbai,73,18944,54,261,96,0.29,16,0.95,Card,No,stayed,High,High,Churn Risk,25609,0.74,Medium Risk
200083,32,Female,Delhi,51,13188,41,240,350,0.94,2,0.01,NetBanking,Yes,churned,Medium,High,Churn Risk,16405,0.8,Medium Risk
200084,25,Male,Mumbai,30,18916,236,109,280,0.86,1,0,NetBanking,No,stayed,High,Medium,Churn Risk,2405,7.87,Medium Risk
200085,31,Female,Delhi,46,6196,174,285,171,0.06,1,0.06,Card,No,stayed,Medium,High,Churn Risk,1638,3.78,Medium Risk
200086,40,Male,Pune,4,16712,73,296,143,0.25,11,0.94,NetBanking,Yes,churned,High,High,Churn Risk,916,18.25,Medium Risk
200088,38,Female,Hyderabad,102,2667,103,265,61,0.3,0,0.76,COD,No,stayed,Low,High,Dormant,2641,1.01,Medium Risk
200089,33,Male,Delhi,45,13571,82,233,223,0.09,6,0.74,COD,No,stayed,Medium,High,Churn Risk,7448,1.82,Medium Risk
200090,62,Male,Kolkata,5,1354,134,155,171,0.16,25,0.9,Card,No,stayed,Low,Medium,Churn Risk,51,26.8,Medium Risk
200091,35,Male,Bangalore,23,2080,254,69,162,0.47,6,0.5,NetBanking,No,stayed,Low,Low,Churn Risk,188,11.04,Medium Risk
200092,64,Male,Mumbai,103,11312,79,165,264,0.53,27,0.02,NetBanking,No,stayed,Medium,Medium,Churn Risk,14749,0.77,Medium Risk
200093,41,Female,Hyderabad,98,18971,25,57,138,0.32,0,0.4,Card,No,stayed,High,Low,Churn Risk,74366,0.26,Medium Risk
200094,43,Female,Delhi,79,5046,319,267,5,0.25,22,0.66,Card,Yes,churned,Medium,High,Highly Active,1250,4.04,Low Risk
200095,42,Female,Pune,51,4256,381,43,185,0.09,8,0.44,UPI,No,stayed,Low,Low,Churn Risk,570,7.47,Medium Risk
200096,62,Female,Pune,3,14528,197,263,229,0.57,20,0.08,UPI,No,stayed,Medium,High,Churn Risk,221,65.67,Medium Risk
200098,46,Male,Kolkata,51,1982,273,191,104,0.24,22,0.31,UPI,No,stayed,Low,High,Churn Risk,370,5.35,Medium Risk
200099,32,Female,Pune,108,606,368,104,276,0.72,4,0.48,Card,Yes,churned,Low,Medium,Churn Risk,178,3.41,Medium Risk
200100,62,Female,Mumbai,98,11466,182,219,259,0.73,28,0.9,COD,No,stayed,Medium,High,Churn Risk,6174,1.86,Medium Risk
200101,18,Male,Bangalore,105,11622,388,214,54,0.86,11,0.23,UPI,No,stayed,Medium,High,Dormant,3145,3.7,Medium Risk
200103,24,Female,Mumbai,11,3365,203,139,305,0.28,0,0.01,UPI,No,stayed,Low,Medium,Churn Risk,182,18.45,Medium Risk
200104,26,Male,Mumbai,17,4415,254,109,340,0.78,5,0.42,UPI,Yes,churned,Low,Medium,Churn Risk,295,14.94,Medium Risk
200105,41,Male,Bangalore,52,11568,156,196,244,0.42,21,0.55,UPI,No,stayed,Medium,High,Churn Risk,3856,3,Medium Risk
200106,18,Male,Hyderabad,37,15051,113,167,120,0.45,11,0.21,NetBanking,Yes,churned,High,Medium,Churn Risk,4928,3.05,Medium Risk
200107,61,Male,Pune,90,11437,107,46,313,0.88,18,0.2,Card,Yes,churned,Medium,Low,Churn Risk,9620,1.19,Medium Risk
200108,25,Female,Delhi,29,16338,390,274,122,0.51,6,0.8,COD,No,stayed,High,High,Churn Risk,1215,13.45,Medium Risk
200109,41,Female,Delhi,32,9453,47,137,338,0.77,9,0.18,UPI,Yes,churned,Medium,Medium,Churn Risk,6436,1.47,Medium Risk
200110,28,Female,Hyderabad,106,17869,195,35,261,0.68,27,0.38,COD,No,stayed,High,Low,Churn Risk,9713,1.84,Medium Risk
200111,68,Female,Delhi,78,12366,184,282,250,0.1,19,0.09,Card,No,stayed,Medium,High,Churn Risk,5242,2.36,Medium Risk
200112,34,Female,Delhi,110,5013,77,66,161,0.06,5,0.72,COD,No,stayed,Medium,Low,Churn Risk,7161,0.7,Medium Risk
200113,25,Female,Chennai,19,15703,152,218,118,0.48,6,0.46,Card,No,stayed,High,High,Churn Risk,1963,8,Medium Risk
200115,52,Male,Chennai,116,6893,188,63,320,0.75,2,0.78,Card,No,stayed,Medium,Low,Churn Risk,4253,1.62,Medium Risk
200116,50,Female,Delhi,39,3286,5,70,178,0.67,15,0.58,Card,No,stayed,Low,Low,Churn Risk,25631,0.13,Medium Risk
200117,22,Male,Chennai,32,7743,307,195,139,0.81,19,0.18,COD,Yes,churned,Medium,High,Churn Risk,807,9.59,Medium Risk
200118,59,Male,Delhi,117,3800,131,268,314,0.25,21,0.27,Card,No,stayed,Low,High,Churn Risk,3394,1.12,Medium Risk
200119,56,Male,Pune,7,1613,396,63,205,0.78,10,0.21,NetBanking,Yes,churned,Low,Low,Churn Risk,29,56.57,Medium Risk
200120,58,Male,Pune,4,6157,292,30,214,0.04,9,0.45,UPI,No,stayed,Medium,Low,Churn Risk,84,73,Medium Risk
200121,45,Male,Delhi,117,15938,396,51,178,0.21,10,0.79,COD,No,stayed,High,Low,Churn Risk,4709,3.38,Medium Risk
200122,24,Male,Bangalore,59,3735,328,17,103,0.01,23,0.62,COD,No,stayed,Low,Low,Churn Risk,672,5.56,Medium Risk
200123,26,Male,Kolkata,1,7672,381,133,294,0.66,9,0.12,Card,Yes,churned,Medium,Medium,Churn Risk,20,381,Medium Risk
200124,25,Male,Bangalore,80,9476,44,205,113,0.5,20,0.6,Card,No,stayed,Medium,High,Churn Risk,17229,0.55,Medium Risk
200125,29,Male,Kolkata,88,5355,150,9,279,0.24,0,0.7,Card,Yes,churned,Medium,Low,Churn Risk,3142,1.7,Medium Risk
200126,51,Male,Pune,89,9643,75,53,147,0.85,8,0.3,Card,No,stayed,Medium,Low,Churn Risk,11443,0.84,Medium Risk
200128,65,Male,Hyderabad,116,15330,134,132,320,0.93,2,0.55,COD,No,stayed,High,Medium,Churn Risk,13271,1.16,Medium Risk
200129,40,Female,Hyderabad,109,7526,329,101,142,0.44,23,0.43,COD,No,stayed,Medium,Medium,Churn Risk,2493,3.02,Medium Risk
200130,41,Female,Chennai,65,16765,51,156,236,0.55,20,0.28,NetBanking,Yes,churned,High,Medium,Churn Risk,21367,0.78,Medium Risk
200131,54,Female,Hyderabad,37,7478,204,277,4,0.46,5,0.99,COD,No,stayed,Medium,High,Highly Active,1356,5.51,Medium Risk
200132,52,Male,Kolkata,86,11533,189,126,228,0.33,14,0.03,Card,Yes,churned,Medium,Medium,Churn Risk,5248,2.2,Medium Risk
200133,61,Male,Kolkata,43,19455,227,76,342,0.58,9,0.12,COD,No,stayed,High,Medium,Churn Risk,3685,5.28,Medium Risk
200135,39,Female,Hyderabad,57,19503,383,283,354,0.76,19,0.44,UPI,Yes,churned,High,High,Churn Risk,2903,6.72,Medium Risk
200136,44,Female,Bangalore,21,13796,136,67,330,0.92,7,0.7,Card,No,stayed,Medium,Low,Churn Risk,2130,6.48,Medium Risk
200137,52,Female,Mumbai,103,4368,53,235,279,0.29,7,0.67,Card,No,stayed,Low,High,Churn Risk,8489,0.51,Medium Risk
200138,18,Male,Chennai,97,10208,133,143,337,0.33,26,0.86,Card,No,stayed,Medium,Medium,Churn Risk,7445,1.37,Medium Risk
200139,52,Female,Chennai,108,4203,176,252,56,0.07,0,0.47,COD,No,stayed,Low,High,Dormant,2579,1.63,Medium Risk
200140,54,Male,Delhi,29,18169,330,136,93,0.63,12,0.78,Card,Yes,churned,High,Medium,Churn Risk,1597,11.38,Medium Risk
200141,64,Female,Bangalore,25,16617,113,179,178,0.26,22,0.7,NetBanking,Yes,churned,High,Medium,Churn Risk,3676,4.52,Medium Risk
200142,31,Male,Pune,95,1095,17,92,363,0.03,26,0.42,Card,No,stayed,Low,Medium,Churn Risk,6119,0.18,Medium Risk
200143,20,Female,Chennai,7,1544,285,226,363,0.69,29,0.7,NetBanking,Yes,churned,Low,High,Churn Risk,38,40.71,Medium Risk
200144,18,Male,Bangalore,30,12529,79,268,77,0.16,8,0.31,UPI,No,stayed,Medium,High,Dormant,4758,2.63,Medium Risk
200145,22,Female,Mumbai,109,11605,295,245,358,0.26,7,0.75,COD,Yes,churned,Medium,High,Churn Risk,4288,2.71,Medium Risk
200146,43,Female,Bangalore,73,2141,193,164,109,0.19,28,0.49,NetBanking,No,stayed,Low,Medium,Churn Risk,810,2.64,Medium Risk
200147,31,Female,Mumbai,24,15212,167,94,152,0.5,7,0.16,Card,No,stayed,High,Medium,Churn Risk,2186,6.96,Medium Risk
200148,56,Female,Pune,12,18283,393,143,349,0.44,22,0.81,COD,Yes,churned,High,Medium,Churn Risk,558,32.75,Medium Risk
200150,26,Female,Kolkata,87,13384,353,288,200,0.67,22,0.24,UPI,No,stayed,Medium,High,Churn Risk,3299,4.06,Medium Risk
200151,32,Female,Kolkata,77,15526,119,207,179,0.98,21,0.26,NetBanking,No,stayed,High,High,Churn Risk,10046,1.55,Medium Risk
200152,32,Male,Mumbai,30,4417,357,190,266,0.55,13,0.59,UPI,Yes,churned,Low,High,Churn Risk,371,11.9,Medium Risk
200153,43,Female,Chennai,61,10375,308,262,301,0.74,23,0.9,NetBanking,No,stayed,Medium,High,Churn Risk,2055,5.05,Medium Risk
200154,59,Female,Kolkata,91,4819,150,128,181,0.9,11,0.45,NetBanking,No,stayed,Low,Medium,Churn Risk,2924,1.65,Medium Risk
200155,30,Male,Chennai,97,2127,180,166,148,0.37,5,0.78,UPI,No,stayed,Low,Medium,Churn Risk,1146,1.86,Medium Risk
200156,68,Male,Hyderabad,62,17394,48,185,54,0.08,24,0.64,NetBanking,No,stayed,High,High,Dormant,22467,0.77,Medium Risk
200157,49,Male,Delhi,24,16832,205,190,299,0.28,3,0.83,UPI,No,stayed,High,High,Churn Risk,1971,8.54,Medium Risk
200158,56,Male,Hyderabad,79,6336,91,53,167,0.48,23,0.99,UPI,Yes,churned,Medium,Low,Churn Risk,5500,1.15,Medium Risk
200159,66,Female,Pune,16,15972,121,96,16,0.27,4,0.22,Card,Yes,churned,High,Medium,Active,2112,7.56,Medium Risk
200160,69,Female,Bangalore,114,5029,350,21,72,0.18,6,0.71,Card,No,stayed,Medium,Low,Dormant,1638,3.07,Medium Risk
200161,49,Male,Bangalore,20,16799,203,97,343,0.71,19,0.94,COD,Yes,churned,High,Medium,Churn Risk,1655,10.15,Medium Risk
200162,21,Male,Hyderabad,85,14571,211,88,143,0.6,7,0.07,Card,No,stayed,Medium,Medium,Churn Risk,5870,2.48,Medium Risk
200163,47,Female,Kolkata,83,16302,49,143,323,0.86,28,0.26,NetBanking,Yes,churned,High,Medium,Churn Risk,27614,0.59,Medium Risk
200164,54,Female,Bangalore,45,12730,304,230,151,0.76,10,0.73,NetBanking,Yes,churned,Medium,High,Churn Risk,1884,6.76,Medium Risk
200165,40,Female,Chennai,113,3736,184,12,114,0.93,7,0.48,NetBanking,Yes,churned,Low,Low,Churn Risk,2294,1.63,High Risk
200166,56,Male,Bangalore,59,19707,62,108,33,0.07,17,0.15,UPI,No,stayed,High,Medium,Dormant,18753,1.05,Medium Risk
200167,62,Male,Delhi,19,5019,124,39,128,0.37,11,0.56,Card,No,stayed,Medium,Low,Churn Risk,769,6.53,Medium Risk
200168,32,Male,Mumbai,25,4395,150,73,293,0.63,18,0.07,NetBanking,Yes,churned,Low,Low,Churn Risk,733,6,Medium Risk
200169,60,Female,Hyderabad,50,4541,370,166,53,0.59,19,0.97,NetBanking,Yes,churned,Low,Medium,Dormant,614,7.4,Medium Risk
200170,46,Male,Bangalore,30,13249,280,187,64,0.15,3,0.96,Card,No,stayed,Medium,High,Dormant,1420,9.33,Medium Risk
200171,53,Male,Kolkata,73,12466,346,203,198,0.37,1,0.27,COD,No,stayed,Medium,High,Churn Risk,2630,4.74,Medium Risk
200172,30,Female,Mumbai,15,12840,83,202,251,0.2,8,0.62,UPI,No,stayed,Medium,High,Churn Risk,2320,5.53,Medium Risk
200173,49,Male,Hyderabad,49,2466,219,162,242,0.45,4,0.06,UPI,No,stayed,Low,Medium,Churn Risk,552,4.47,Medium Risk
200174,24,Female,Pune,74,6347,273,199,318,0.25,12,0.33,NetBanking,No,stayed,Medium,High,Churn Risk,1720,3.69,Medium Risk
200175,68,Female,Chennai,52,6273,388,164,132,0.73,1,0.38,Card,No,stayed,Medium,Medium,Churn Risk,841,7.46,Medium Risk
200176,39,Female,Hyderabad,32,8087,29,162,265,0.16,4,0.39,Card,No,stayed,Medium,Medium,Churn Risk,8924,0.91,Medium Risk
200177,45,Male,Mumbai,36,18047,22,228,173,0.2,2,0.53,UPI,No,stayed,High,High,Churn Risk,29531,0.61,Medium Risk
200178,19,Female,Hyderabad,7,11211,339,10,241,0.08,28,0.06,NetBanking,No,stayed,Medium,Low,Churn Risk,232,48.43,Medium Risk
200179,59,Female,Chennai,61,5091,4,226,8,0.29,2,0.98,COD,No,stayed,Medium,High,Active,77638,0.07,Medium Risk
200180,62,Female,Kolkata,97,19118,276,47,182,0.3,16,0.64,COD,No,stayed,High,Low,Churn Risk,6719,2.85,Medium Risk
200181,23,Female,Kolkata,74,19475,260,133,116,0.42,9,0.9,UPI,Yes,churned,High,Medium,Churn Risk,5543,3.51,Medium Risk
200182,45,Female,Kolkata,37,6843,255,113,312,0.42,1,0.79,Card,No,stayed,Medium,Medium,Churn Risk,993,6.89,Medium Risk
200183,45,Male,Chennai,70,2771,152,286,315,0.26,3,0.78,NetBanking,No,stayed,Low,High,Churn Risk,1276,2.17,Medium Risk
200184,61,Male,Delhi,79,18435,125,164,243,0.83,13,0.39,Card,No,stayed,High,Medium,Churn Risk,11651,1.58,Medium Risk
200185,61,Male,Mumbai,17,3058,116,283,359,0.64,25,0.26,Card,No,stayed,Low,High,Churn Risk,448,6.82,Medium Risk
200187,47,Female,Chennai,38,2863,322,67,55,0.5,22,0.5,COD,No,stayed,Low,Low,Dormant,338,8.47,Medium Risk
200188,28,Male,Mumbai,73,15422,317,209,154,0.07,2,0.84,NetBanking,No,stayed,High,High,Churn Risk,3551,4.34,Medium Risk
200189,45,Female,Pune,85,3007,157,193,38,0.72,3,0.41,COD,No,stayed,Low,High,Dormant,1628,1.85,Medium Risk
200190,42,Male,Kolkata,107,12672,17,151,198,0.39,16,0.28,COD,No,stayed,Medium,Medium,Churn Risk,79759,0.16,Medium Risk
200191,56,Female,Bangalore,27,12488,336,160,171,0.77,27,0.37,Card,Yes,churned,Medium,Medium,Churn Risk,1004,12.44,Medium Risk
200192,50,Female,Mumbai,4,5966,311,104,133,0.11,6,0.42,UPI,No,stayed,Medium,Medium,Churn Risk,77,77.75,Medium Risk
200193,18,Male,Bangalore,81,16988,241,85,295,0.39,20,0.69,UPI,No,stayed,High,Medium,Churn Risk,5710,2.98,Medium Risk
200194,44,Male,Kolkata,82,16122,306,184,281,0.72,11,0.14,NetBanking,Yes,churned,High,High,Churn Risk,4320,3.73,Medium Risk
200195,69,Male,Mumbai,42,6998,385,292,345,0.79,8,0.45,UPI,Yes,churned,Medium,High,Churn Risk,763,9.17,Medium Risk
200196,30,Female,Pune,88,6920,214,141,319,0.76,10,0.38,UPI,Yes,churned,Medium,Medium,Churn Risk,2846,2.43,Medium Risk
200197,58,Female,Mumbai,94,16624,230,151,278,0.17,7,0.08,UPI,Yes,churned,High,Medium,Churn Risk,6794,2.45,Medium Risk
200198,20,Female,Bangalore,100,1831,246,215,194,0.16,10,0.67,COD,No,stayed,Low,High,Churn Risk,744,2.46,Medium Risk
200199,56,Female,Delhi,35,14623,107,200,119,0.76,9,0.42,COD,No,stayed,Medium,High,Churn Risk,4783,3.06,Medium Risk
200200,23,Male,Hyderabad,75,2545,129,297,282,0.6,0,0.48,Card,No,stayed,Low,High,Churn Risk,1480,1.72,Medium Risk
200201,25,Female,Chennai,23,10286,48,174,165,0.91,4,0.92,COD,No,stayed,Medium,Medium,Churn Risk,4929,2.09,Medium Risk
